23,81,99,23,65,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,66,23,80,23,98
23,23,23,23,31,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,29,80,23,81,98
99,23,81,23,31,81,81,23,23,23,81,23,81,23,23,23,80,23,23,80,80,23,99,80,99,29,23,23,80,81
80,81,81,23,31,23,98,99,81,81,23,23,80,23,23,80,98,23,23,81,23,81,81,99,81,29,23,99,23,98
23,81,80,99,31,81,23,80,81,81,23,81,81,81,81,23,23,81,23,23,81,81,23,23,23,29,81,23,81,80
23,98,23,80,31,23,23,81,23,23,23,81,0,1,1,1,1,1,1,1,1,2,81,80,23,29,23,81,80,23
81,23,81,81,31,23,23,81,81,23,7,82,61,37,37,6,4,37,37,37,37,38,81,23,23,29,23,98,23,98
81,81,99,80,31,81,23,23,81,7,26,23,81,80,81,18,20,81,98,81,23,23,80,80,23,29,23,23,81,23
23,23,80,23,31,23,81,23,23,21,80,80,23,23,81,18,20,98,81,81,23,23,81,23,23,29,81,81,80,98
81,23,81,23,31,81,80,23,81,21,81,23,23,81,23,18,20,23,23,99,80,80,80,23,80,29,23,81,23,23
23,81,23,81,31,81,23,23,23,21,99,80,23,23,80,18,20,23,23,23,80,23,98,23,81,29,23,23,23,23
23,23,23,81,31,23,81,80,23,100,23,23,23,81,81,18,46,55,82,55,55,55,56,80,99,29,81,23,99,23
81,23,80,23,31,23,80,98,54,26,80,81,80,81,99,18,20,81,81,80,81,80,23,99,23,29,81,23,23,81
23,81,23,98,31,81,23,99,80,81,23,23,81,23,23,18,20,23,23,80,23,98,23,81,23,29,81,23,99,80
98,23,23,81,31,23,81,98,23,81,80,80,81,80,99,18,20,81,81,23,81,23,23,81,80,29,81,23,23,23
80,23,81,23,31,80,81,23,23,81,23,23,23,23,23,18,20,80,98,23,23,23,23,81,23,29,23,23,80,80
81,81,23,23,31,23,81,23,23,23,81,98,23,80,81,18,20,81,23,23,81,80,81,80,23,29,23,80,23,23
98,80,81,23,31,81,81,81,81,23,23,23,23,23,23,18,20,23,23,23,23,81,23,23,23,29,23,81,23,23
80,98,23,23,31,23,23,23,80,23,80,23,81,81,23,36,38,81,23,23,80,23,23,99,99,29,23,80,99,23
23,23,80,23,31,81,81,80,23,23,23,23,23,23,23,23,80,23,81,23,23,23,23,80,23,29,23,81,23,23
