188,206,189,189,206,207,189,131,189,131,131,131,189,131,131,189,206,131,131,131,131,131,131,131,188,131,189,188,189,206,189,188,131,131,131
131,188,131,131,108,109,110,131,188,131,131,131,131,131,188,189,131,206,131,189,206,206,131,189,189,206,131,207,131,131,131,131,131,131,131
131,189,189,131,126,127,128,131,189,189,207,207,131,206,189,188,131,131,189,206,131,188,206,189,131,206,189,131,189,189,189,207,206,189,131
131,131,131,189,144,180,146,189,206,188,189,131,189,188,189,131,131,131,188,131,206,188,131,207,206,188,206,189,189,189,131,131,189,131,131
189,207,131,206,189,129,131,131,131,206,131,189,131,206,131,131,131,131,189,207,207,206,131,131,131,131,206,188,131,189,131,131,131,206,207
131,131,131,131,131,129,206,188,131,131,189,206,131,189,189,189,131,131,131,189,131,131,206,189,131,189,131,189,189,131,131,131,131,189,131
131,207,131,189,131,129,131,131,188,189,188,189,131,188,206,189,131,207,131,131,131,207,189,131,131,131,131,189,189,207,131,131,131,131,188
131,131,131,131,206,129,131,206,189,131,131,131,131,131,131,207,188,189,206,207,131,131,207,207,189,131,189,131,131,131,189,131,131,131,189
131,131,207,131,131,208,131,131,206,189,131,131,207,131,131,131,131,131,207,131,131,131,131,206,131,131,207,131,189,131,131,131,188,207,189
131,131,131,131,131,129,207,131,131,189,131,206,189,131,189,131,206,188,131,108,109,109,109,109,109,109,109,109,109,109,131,206,131,131,188
131,131,188,131,131,208,207,206,189,131,189,206,189,206,207,189,131,189,108,150,112,145,145,145,145,145,145,145,145,145,189,131,207,189,131
131,131,131,207,206,129,131,131,206,189,207,188,131,188,131,131,188,207,126,112,146,189,206,189,189,189,189,206,131,131,189,189,207,131,131
131,131,131,131,207,208,131,131,131,131,131,131,131,131,189,131,108,109,150,128,131,207,207,131,206,206,189,206,131,207,189,189,188,131,131
109,109,109,109,109,171,109,109,109,109,109,109,109,109,109,109,150,112,145,146,131,131,131,189,189,131,131,207,131,188,131,189,189,207,131
145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,146,189,189,189,188,131,189,131,131,188,131,189,131,189,189,131,131,131
131,131,188,189,188,207,188,206,189,206,131,188,188,131,131,188,189,188,131,189,131,207,189,188,131,188,131,189,131,131,131,131,188,131,131
131,188,189,189,189,189,188,131,206,189,189,131,131,206,131,131,207,206,131,131,131,189,131,131,207,131,131,206,131,189,207,131,131,131,206
206,207,189,131,131,188,206,188,189,207,131,131,131,189,131,189,131,189,131,207,207,131,131,189,189,131,206,207,131,131,131,131,131,131,206
189,131,131,131,131,131,131,188,189,189,131,189,131,131,189,207,131,131,131,188,189,207,131,131,131,189,189,189,131,189,188,131,131,206,131
206,131,131,189,189,131,189,131,189,206,188,131,131,131,189,189,207,131,189,131,189,206,206,131,189,131,189,207,131,131,189,189,131,131,131
